Flights (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,18,283","22,395","4,40,678"
2002,11,"3,95,948","21,995","4,17,943"
2002,12,"4,04,919","23,339","4,28,258"
2002,TOTAL,"43,64,675","2,49,597","46,14,272"
2003,1,"4,04,925","23,314","4,28,239"
2003,2,"3,57,235","20,616","3,77,851"
2003,3,"4,12,330","23,762","4,36,092"
2003,4,"3,94,742","22,280","4,17,022"
2003,5,"4,03,654","22,329","4,25,983"
2003,6,"4,07,583","23,576","4,31,159"
2003,7,"4,23,118","25,309","4,48,427"
2003,8,"4,23,566","25,581","4,49,147"
2003,9,"4,01,496","22,484","4,23,980"
2003,10,"4,23,815","22,854","4,46,669"
2003,11,"4,04,565","22,529","4,27,094"
2003,12,"4,21,982","23,949","4,45,931"
2003,TOTAL,"48,79,011","2,78,583","51,57,594"
2004,1,"4,18,173","24,280","4,42,453"
2004,2,"4,04,403","23,313","4,27,716"
2004,3,"4,42,359","25,366","4,67,725"
2004,4,"4,32,011","24,971","4,56,982"
2004,5,"4,38,120","25,887","4,64,007"
2004,6,"4,38,882","26,623","4,65,505"
2004,7,"4,57,438","28,886","4,86,324"
2004,8,"4,65,737","28,786","4,94,523"
2004,9,"4,29,753","23,710","4,53,463"
2004,10,"4,58,535","25,044","4,83,579"
2004,11,"4,39,678","24,913","4,64,591"
2004,12,"4,51,484","27,009","4,78,493"
2004,TOTAL,"52,76,573","3,08,788","55,85,361"
2005,1,"4,33,014","27,584","4,60,598"
2005,2,"4,08,128","25,629","4,33,757"
2005,3,"4,63,894","29,348","4,93,242"
2005,4,"4,49,677","28,347","4,78,024"
2005,5,"4,64,690","29,102","4,93,792"
2005,6,"4,56,746","29,807","4,86,553"
2005,7,"4,69,933","31,954","5,01,887"
2005,8,"4,73,048","30,795","5,03,843"
2005,9,"4,34,536","26,482","4,61,018"
2005,10,"4,45,893","26,405","4,72,298"
2005,11,"4,30,957","25,434","4,56,391"
2005,12,"4,38,301","27,920","4,66,221"
2005,TOTAL,"53,68,817","3,38,807","57,07,624"
2006,1,"4,28,337","28,351","4,56,688"
2006,2,"3,90,400","25,893","4,16,293"
2006,3,"4,49,407","29,999","4,79,406"
2006,4,"4,33,141","29,368","4,62,509"
2006,5,"4,46,282","29,249","4,75,531"
2006,6,"4,41,131","30,454","4,71,585"
2006,7,"4,57,674","32,619","4,90,293"
2006,8,"4,64,846","31,887","4,96,733"
2006,9,"4,30,949","27,123","4,58,072"
2006,10,"4,51,161","27,556","4,78,717"
2006,11,"4,32,796","26,938","4,59,734"
2006,12,"4,40,201","29,942","4,70,143"
2006,TOTAL,"52,66,325","3,49,379","56,15,704"
2007,1,"4,41,346","30,350","4,71,696"
2007,2,"3,93,882","27,444","4,21,326"
2007,3,"4,54,195","31,551","4,85,746"
2007,4,"4,40,618","30,672","4,71,290"
2007,5,"4,55,331","30,697","4,86,028"
2007,6,"4,43,414","31,798","4,75,212"
2007,7,"4,61,046","33,853","4,94,899"
2007,8,"4,65,628","33,376","4,99,004"
2007,9,"4,33,302","28,257","4,61,559"
2007,10,"4,54,743","28,526","4,83,269"
2007,11,"4,38,221","28,260","4,66,481"
