Passengers (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"3,01,77,757","21,74,104","3,23,51,861"
2002,11,"2,82,37,267","19,90,665","3,02,27,932"
2002,12,"3,14,67,298","21,75,091","3,36,42,389"
2002,TOTAL,"35,25,08,488","2,72,41,617","37,97,50,105"
2003,1,"2,74,39,545","22,73,133","2,97,12,678"
2003,2,"2,60,91,500","18,62,393","2,79,53,893"
2003,3,"3,16,92,935","22,49,853","3,39,42,788"
2003,4,"3,00,19,934","19,91,510","3,20,11,444"
2003,5,"3,13,18,794","20,30,424","3,33,49,218"
2003,6,"3,31,43,353","23,47,767","3,54,91,120"
2003,7,"3,55,16,076","28,30,397","3,83,46,473"
2003,8,"3,43,82,413","29,05,905","3,72,88,318"
2003,9,"2,81,05,486","21,82,986","3,02,88,472"
2003,10,"3,18,71,096","22,25,846","3,40,96,942"
2003,11,"3,03,50,745","21,43,214","3,24,93,959"
2003,12,"3,21,42,584","22,91,408","3,44,33,992"
2003,TOTAL,"37,20,74,461","2,73,34,836","39,94,09,297"
2004,1,"2,86,06,462","24,59,111","3,10,65,573"
2004,2,"2,94,08,812","22,13,835","3,16,22,647"
2004,3,"3,51,18,603","26,21,484","3,77,40,087"
2004,4,"3,46,30,894","26,07,918","3,72,38,812"
2004,5,"3,43,96,152","24,97,012","3,68,93,164"
2004,6,"3,68,03,113","27,85,708","3,95,88,821"
2004,7,"3,85,69,393","32,82,121","4,18,51,514"
2004,8,"3,71,77,300","32,68,700","4,04,46,000"
2004,9,"3,08,18,868","24,30,696","3,32,49,564"
2004,10,"3,51,02,655","25,44,085","3,76,46,740"
2004,11,"3,35,88,362","23,82,525","3,59,70,887"
2004,12,"3,43,78,475","25,66,893","3,69,45,368"
2004,TOTAL,"40,85,99,089","3,16,60,088","44,02,59,177"
2005,1,"3,12,92,919","28,77,756","3,41,70,675"
2005,2,"3,04,99,976","24,57,668","3,29,57,644"
2005,3,"3,82,03,383","31,42,490","4,13,45,873"
2005,4,"3,57,19,634","29,41,811","3,86,61,445"
