Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"2,75,34,920","63,70,833","3,39,05,752"
2002,11,"2,55,89,459","55,49,997","3,11,39,456"
2002,12,"2,91,49,963","60,54,205","3,52,04,168"
2002,TOTAL,"33,28,74,625","7,65,89,448","40,94,64,073"
2003,1,"2,56,61,677","61,74,040","3,18,35,717"
2003,2,"2,40,28,429","49,00,766","2,89,29,195"
2003,3,"2,93,64,639","58,76,925","3,52,41,564"
2003,4,"2,79,61,397","50,18,556","3,29,79,953"
2003,5,"2,90,35,308","52,19,088","3,42,54,396"
2003,6,"3,12,96,593","62,43,395","3,75,39,988"
2003,7,"3,40,76,526","74,46,066","4,15,22,592"
2003,8,"3,32,68,263","75,76,593","4,08,44,856"
2003,9,"2,62,03,180","62,43,609","3,24,46,790"
2003,10,"2,95,24,268","63,20,035","3,58,44,303"
2003,11,"2,81,73,369","58,89,622","3,40,62,991"
2003,12,"3,04,77,384","62,87,897","3,67,65,281"
2003,TOTAL,"34,90,71,033","7,31,96,593","42,22,67,626"
2004,1,"2,74,86,444","64,94,189","3,39,80,633"
2004,2,"2,76,65,137","56,55,736","3,33,20,873"
2004,3,"3,33,64,414","68,70,257","4,02,34,671"
2004,4,"3,30,14,865","68,76,945","3,98,91,810"
2004,5,"3,26,09,752","67,72,387","3,93,82,139"
2004,6,"3,55,90,210","75,70,559","4,31,60,769"
2004,7,"3,77,46,904","86,85,382","4,64,32,286"
2004,8,"3,66,17,971","84,81,794","4,50,99,766"
2004,9,"2,93,98,545","69,87,546","3,63,86,091"
2004,10,"3,30,54,533","71,47,683","4,02,02,216"
2004,11,"3,13,85,875","64,49,175","3,78,35,050"
2004,12,"3,24,90,859","68,78,497","3,93,69,355"
2004,TOTAL,"39,04,25,509","8,48,70,149","47,52,95,658"
2005,1,"2,99,53,315","74,37,403","3,73,90,719"
2005,2,"2,86,37,194","61,83,962","3,48,21,156"
2005,3,"3,63,27,292","80,39,166","4,43,66,458"
2005,4,"3,38,04,391","76,88,519","4,14,92,909"
2005,5,"3,52,24,693","77,26,621","4,29,51,315"
2005,6,"3,71,25,448","84,73,556","4,55,99,005"
2005,7,"3,92,71,953","97,01,018","4,89,72,970"
2005,8,"3,74,81,484","93,12,347","4,67,93,831"
2005,9,"3,15,51,321","77,44,950","3,92,96,271"
2005,10,"3,30,35,548","75,31,637","4,05,67,185"
2005,11,"3,24,78,066","68,04,647","3,92,82,713"
2005,12,"3,32,25,962","72,62,942","4,04,88,904"
2005,TOTAL,"40,81,16,667","9,39,06,768","50,20,23,435"
2006,1,"3,10,42,307","77,91,543","3,88,33,850"
2006,2,"2,94,29,392","63,93,184","3,58,22,576"
2006,3,"3,66,13,116","83,40,935","4,49,54,051"
2006,4,"3,53,81,836","85,27,381","4,39,09,217"
2006,5,"3,56,37,334","81,97,881","4,38,35,214"
2006,6,"3,73,80,808","91,12,959","4,64,93,767"
2006,7,"3,90,38,438","1,05,04,390","4,95,42,828"
2006,8,"3,74,78,334","98,82,402","4,73,60,735"
2006,9,"3,13,16,794","81,75,854","3,94,92,648"
2006,10,"3,41,67,109","81,80,422","4,23,47,531"
2006,11,"3,32,55,442","74,75,957","4,07,31,398"
2006,12,"3,36,13,179","80,08,326","4,16,21,505"
2006,TOTAL,"41,43,54,086","10,05,91,235","51,49,45,321"
2007,1,"3,16,28,141","84,58,192","4,00,86,334"
2007,2,"2,96,87,805","70,19,196","3,67,07,001"
2007,3,"3,69,91,463","89,81,393","4,59,72,856"
2007,4,"3,59,76,270","90,19,194","4,49,95,463"
2007,5,"3,68,01,148","87,37,904","4,55,39,051"
2007,6,"3,84,33,448","97,17,980","4,81,51,428"
2007,7,"4,01,88,627","1,11,45,440","5,13,34,067"
2007,8,"3,98,26,721","1,06,99,689","5,05,26,409"
2007,9,"3,26,73,315","89,50,326","4,16,23,642"
2007,10,"3,53,43,902","89,55,879","4,42,99,781"
2007,11,"3,39,82,157","82,19,939","4,22,02,095"
2007,12,"3,35,57,573","88,01,315","4,23,58,888"
2007,TOTAL,"42,50,90,569","10,87,06,447","53,37,97,016"
2008,1,"3,17,17,773","90,90,657","4,08,08,430"
2008,2,"3,10,64,581","77,50,122","3,88,14,704"
2008,3,"3,72,85,149","98,85,564","4,71,70,713"
2008,4,"3,49,53,161","94,14,406","4,43,67,567"
2008,5,"3,64,54,359","95,64,166","4,60,18,525"
2008,6,"3,77,37,851","1,02,33,454","4,79,71,306"
2008,7,"3,93,29,692","1,16,04,484","5,09,34,175"
2008,8,"3,82,29,382","1,13,00,198","4,95,29,581"
2008,9,"3,03,80,157","88,17,129","3,91,97,286"
2008,10,"3,30,43,564","87,82,379","4,18,25,943"
2008,11,"2,97,28,687","77,79,213","3,75,07,899"
2008,12,"3,19,96,269","84,47,774","4,04,44,043"
2008,TOTAL,"41,19,20,625","11,26,69,547","52,45,90,172"
2009,1,"2,88,41,513","84,73,917","3,73,15,430"
2009,2,"2,74,16,084","68,30,055","3,42,46,139"
2009,3,"3,39,04,888","85,82,624","4,24,87,512"
2009,4,"3,33,48,841","89,39,797","4,22,88,639"
2009,5,"3,39,11,190","84,92,662","4,24,03,852"
2009,6,"3,60,39,756","95,69,658","4,56,09,414"
2009,7,"3,85,63,624","1,13,42,101","4,99,05,725"
2009,8,"3,72,67,574","1,12,76,374","4,85,43,948"
2009,9,"3,10,25,838","87,97,653","3,98,23,491"
2009,10,"3,32,18,284","86,28,130","4,18,46,414"
2009,11,"3,06,40,572","75,81,369","3,82,21,941"
2009,12,"3,19,54,555","83,87,294","4,03,41,849"
2009,TOTAL,"39,61,32,719","10,69,01,635","50,30,34,354"
2010,1,"2,96,12,394","86,75,706","3,82,88,100"
2010,2,"2,70,10,895","70,28,714","3,40,39,610"
2010,3,"3,47,45,342","91,10,347","4,38,55,689"
2010,4,"3,36,45,060","87,86,198","4,24,31,257"
2010,5,"3,46,42,099","95,41,585","4,41,83,684"
2010,6,"3,67,59,003","1,05,28,770","4,72,87,773"
2010,7,"3,86,26,345","1,21,61,055","5,07,87,399"
2010,8,"3,78,38,238","1,18,04,119","4,96,42,357"
2010,9,"3,25,25,033","96,73,282","4,21,98,316"
2010,10,"3,50,25,921","97,92,065","4,48,17,987"
2010,11,"3,26,58,247","83,10,589","4,09,68,836"
2010,12,"3,29,35,445","89,52,118","4,18,87,563"
2010,TOTAL,"40,60,24,023","11,43,64,547","52,03,88,570"
2011,1,"3,02,39,150","91,19,442","3,93,58,591"
2011,2,"2,80,12,632","72,70,396","3,52,83,028"
2011,3,"3,57,59,299","93,27,650","4,50,86,950"
2011,4,"3,42,68,787","96,68,901","4,39,37,688"
2011,5,"3,63,13,709","98,31,929","4,61,45,638"
2011,6,"3,78,84,741","1,07,04,667","4,85,89,409"
2011,7,"3,99,35,695","1,25,79,191","5,25,14,886"
2011,8,"3,80,71,084","1,18,73,302","4,99,44,386"
2011,9,"3,32,56,999","96,44,327","4,29,01,325"
2011,10,"3,48,75,970","94,25,504","4,43,01,474"
2011,11,"3,31,05,563","80,64,030","4,11,69,593"
2011,12,"3,35,89,350","88,66,721","4,24,56,071"
2011,TOTAL,"41,53,12,979","11,63,76,060","53,16,89,039"
2012,1,"3,07,82,140","91,34,876","3,99,17,016"
2012,2,"2,98,41,520","76,64,714","3,75,06,234"
2012,3,"3,65,28,031","96,80,059","4,62,08,090"
2012,4,"3,50,29,023","97,53,149","4,47,82,172"
2012,5,"3,64,81,718","98,78,318","4,63,60,036"
2012,6,"3,82,99,522","1,08,40,670","4,91,40,191"
2012,7,"3,99,29,850","1,22,85,126","5,22,14,977"
2012,8,"3,93,14,004","1,17,95,872","5,11,09,876"
2012,9,"3,29,28,957","99,23,865","4,28,52,822"
2012,10,"3,47,14,038","93,26,096","4,40,40,134"
2012,11,"3,34,14,063","81,46,060","4,15,60,124"
2012,12,"3,38,26,971","89,95,926","4,28,22,897"
2012,TOTAL,"42,10,89,838","11,74,24,731","53,85,14,570"
2013,1,"3,16,75,665","92,49,642","4,09,25,307"
2013,2,"2,98,15,847","76,14,911","3,74,30,758"
2013,3,"3,71,12,723","99,26,530","4,70,39,253"
2013,4,"3,51,36,572","96,74,254","4,48,10,826"
2013,5,"3,73,17,005","1,01,65,798","4,74,82,803"
2013,6,"3,89,87,398","1,13,59,811","5,03,47,209"
2013,7,"4,03,73,460","1,27,84,953","5,31,58,413"
2013,8,"3,96,20,393","1,24,86,607","5,21,07,000"
2013,9,"3,35,81,812","1,01,42,932","4,37,24,743"
2013,10,"3,58,79,117","97,33,606","4,56,12,723"
2013,11,"3,29,81,159","84,13,854","4,13,95,013"
2013,12,"3,63,34,364","95,60,912","4,58,95,276"
2013,TOTAL,"42,88,15,515","12,11,13,809","54,99,29,324"
2014,1,"3,23,62,218","96,53,422","4,20,15,640"
2014,2,"2,98,78,167","77,42,278","3,76,20,445"
2014,3,"3,81,24,775","99,58,186","4,80,82,961"
